               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10319,            0.030185,            0.037774,           0.0029524,             0.20265,           0.0036474,          0.00064433,             0.10017,            0.023354,            0.038619,              0.0013,              0.0013,              0.0883
                   1,            0.080638,            0.035033,            0.033455,             0.26797,             0.17227,             0.17496,            0.063234,            0.073713,            0.021666,            0.032807,           0.0026911,           0.0026911,            0.075691
                   2,            0.079074,            0.033634,            0.037123,             0.19242,             0.41667,             0.24443,            0.085059,            0.066627,            0.017497,            0.030194,           0.0040729,           0.0040729,            0.063073
                   3,            0.068486,            0.024262,            0.031274,             0.27628,              0.4678,             0.24613,            0.070737,            0.082055,             0.01405,            0.029754,           0.0054456,           0.0054456,            0.050446
                   4,            0.070422,            0.022803,            0.030077,             0.23937,             0.50114,             0.22381,             0.10233,            0.072433,              0.0116,            0.029077,           0.0068089,           0.0068089,            0.037809
                   5,            0.072534,            0.021265,            0.032342,             0.23768,             0.64577,             0.29756,               0.115,            0.075008,           0.0088351,            0.029331,            0.008163,            0.008163,            0.025163
                   6,            0.075382,            0.018379,            0.029991,             0.83257,             0.20833,             0.27017,            0.087197,            0.079168,           0.0081614,            0.029232,           0.0095079,           0.0095079,            0.012508
                   7,            0.083451,            0.014757,            0.029788,             0.13689,             0.74962,             0.27798,              0.0992,            0.089517,           0.0074027,            0.029679,            0.009769,            0.009769,            0.009769
                   8,            0.078759,            0.016181,            0.031105,             0.15458,             0.64621,             0.22343,             0.09861,            0.082081,           0.0070752,            0.028916,            0.009769,            0.009769,            0.009769
                   9,            0.071253,            0.015858,            0.027979,             0.31427,             0.61015,             0.42093,             0.27793,            0.071729,           0.0061355,            0.028337,            0.009736,            0.009736,            0.009736
                  10,            0.067589,            0.015637,             0.02811,             0.26661,             0.67955,             0.35283,              0.1281,            0.086921,           0.0048816,            0.027712,            0.009703,            0.009703,            0.009703
                  11,            0.062459,            0.015831,            0.025006,             0.32798,             0.64571,             0.36835,             0.15747,            0.079126,           0.0060959,            0.027138,             0.00967,             0.00967,             0.00967
                  12,            0.061233,            0.017634,             0.02971,              0.1531,             0.86439,             0.28719,             0.10566,            0.069516,           0.0069479,            0.026573,            0.009637,            0.009637,            0.009637
                  13,             0.06534,            0.016855,            0.029662,             0.28605,             0.78155,             0.43933,             0.27993,            0.058191,           0.0069911,             0.02586,            0.009604,            0.009604,            0.009604
                  14,            0.058445,              0.0192,            0.029735,              0.2481,             0.82852,             0.38955,             0.20883,            0.052792,           0.0074282,            0.025367,            0.009571,            0.009571,            0.009571
                  15,            0.052784,            0.017123,            0.028209,             0.20759,             0.79063,             0.41169,             0.13003,            0.058275,           0.0068756,            0.025528,            0.009538,            0.009538,            0.009538
                  16,            0.054847,            0.018238,            0.028217,             0.22058,             0.85388,             0.37347,             0.18435,            0.052374,           0.0069378,             0.02568,            0.009505,            0.009505,            0.009505
                  17,            0.048146,             0.01645,            0.027601,             0.27278,             0.65227,              0.3261,             0.20522,            0.052473,            0.006924,            0.026712,            0.009472,            0.009472,            0.009472
                  18,            0.048498,            0.015897,            0.028589,             0.25423,             0.77348,             0.40622,             0.23362,            0.047641,            0.006717,             0.02756,            0.009439,            0.009439,            0.009439
                  19,            0.052058,             0.01627,            0.029801,             0.25934,             0.78877,             0.40256,             0.17067,            0.051642,           0.0063791,            0.027294,            0.009406,            0.009406,            0.009406
                  20,            0.047452,            0.015243,            0.028925,             0.37783,             0.73068,             0.46722,             0.22861,            0.041654,           0.0063875,            0.026725,            0.009373,            0.009373,            0.009373
                  21,            0.041256,            0.015341,            0.030195,             0.36043,             0.66705,             0.37049,             0.13992,            0.048515,           0.0065105,            0.025938,             0.00934,             0.00934,             0.00934
                  22,            0.047075,            0.018632,            0.028708,             0.32105,             0.67652,              0.3919,             0.13061,            0.044126,           0.0063549,            0.025335,            0.009307,            0.009307,            0.009307
                  23,            0.052194,            0.017096,            0.033043,             0.45215,              0.6402,             0.50079,              0.3586,            0.038592,           0.0061621,             0.02372,            0.009274,            0.009274,            0.009274
                  24,             0.04784,            0.017157,            0.028898,             0.27417,             0.74928,             0.36307,             0.13125,             0.05366,           0.0065338,            0.024257,            0.009241,            0.009241,            0.009241
                  25,            0.047879,            0.018382,             0.02732,              0.3057,             0.78182,             0.48989,             0.25849,            0.040325,           0.0059028,            0.023335,            0.009208,            0.009208,            0.009208
                  26,            0.037464,            0.016247,            0.026401,             0.34835,             0.77875,             0.49362,             0.18631,            0.042116,           0.0058739,            0.023324,            0.009175,            0.009175,            0.009175
                  27,            0.044776,            0.015978,            0.028878,             0.16447,              0.9697,             0.26917,             0.15247,            0.042691,           0.0058851,            0.023264,            0.009142,            0.009142,            0.009142
                  28,             0.04628,            0.015027,            0.028113,             0.21648,             0.87576,             0.36697,             0.19133,            0.042284,           0.0057857,            0.023075,            0.009109,            0.009109,            0.009109
                  29,            0.040927,            0.017605,            0.028028,             0.32622,             0.86826,             0.47782,             0.25187,            0.039369,           0.0059917,            0.022945,            0.009076,            0.009076,            0.009076
                  30,             0.04017,            0.016062,            0.027786,             0.31724,             0.87576,             0.43619,             0.29928,            0.035536,           0.0062732,            0.022338,            0.009043,            0.009043,            0.009043
                  31,            0.039048,            0.014313,            0.025365,             0.21651,             0.70228,             0.31654,             0.12907,            0.045845,            0.006573,            0.022037,             0.00901,             0.00901,             0.00901
                  32,            0.039695,            0.013631,            0.026273,             0.32261,             0.90286,             0.43774,             0.27493,            0.037344,           0.0067794,            0.022289,            0.008977,            0.008977,            0.008977
                  33,             0.03859,            0.015808,            0.025368,             0.26097,             0.73473,             0.39478,             0.20913,            0.037653,           0.0060381,            0.021719,            0.008944,            0.008944,            0.008944
                  34,            0.042147,            0.015114,            0.028243,             0.36847,             0.75035,             0.49798,             0.29404,             0.03655,           0.0058915,            0.021898,            0.008911,            0.008911,            0.008911
                  35,            0.043445,            0.015762,            0.031817,             0.34294,             0.82159,             0.54105,             0.28133,            0.037116,           0.0060389,            0.022003,            0.008878,            0.008878,            0.008878
                  36,            0.036849,             0.01532,            0.024322,             0.39142,             0.82131,              0.5847,             0.33546,            0.039347,           0.0060531,            0.021978,            0.008845,            0.008845,            0.008845
                  37,            0.038898,            0.013701,            0.025473,             0.35673,             0.78519,             0.54174,             0.28087,            0.041496,           0.0062785,            0.022038,            0.008812,            0.008812,            0.008812
                  38,            0.035842,            0.015066,            0.027152,             0.40654,             0.81615,             0.56885,             0.40693,             0.03487,           0.0063249,            0.021897,            0.008779,            0.008779,            0.008779
                  39,            0.041007,            0.012513,            0.028502,             0.41011,             0.81833,             0.54828,             0.33044,            0.037594,           0.0064313,             0.02259,            0.008746,            0.008746,            0.008746
                  40,            0.042421,            0.015543,            0.026762,             0.42734,             0.78826,             0.55651,             0.38122,            0.038278,           0.0067941,            0.024679,            0.008713,            0.008713,            0.008713
                  41,            0.036782,             0.01343,            0.027714,             0.46549,             0.67652,             0.54427,             0.40217,            0.035387,           0.0070959,            0.025516,             0.00868,             0.00868,             0.00868
                  42,            0.036604,             0.01412,            0.025582,             0.47405,             0.70682,              0.5576,             0.37735,            0.037652,            0.007468,            0.025875,            0.008647,            0.008647,            0.008647
                  43,            0.037056,            0.014603,            0.026335,             0.50872,             0.55486,             0.50844,             0.33413,             0.03747,           0.0082062,             0.02686,            0.008614,            0.008614,            0.008614
                  44,            0.038386,            0.015773,            0.025264,             0.37012,             0.58848,              0.4865,             0.35326,            0.038017,           0.0080423,            0.026775,            0.008581,            0.008581,            0.008581
                  45,            0.035384,             0.01333,            0.025551,             0.47803,             0.71932,             0.56459,             0.31442,            0.034603,           0.0070372,            0.024737,            0.008548,            0.008548,            0.008548
                  46,             0.03566,            0.015753,            0.025378,             0.51052,             0.74015,             0.57062,             0.43659,            0.033405,           0.0067367,            0.024039,            0.008515,            0.008515,            0.008515
                  47,            0.032666,            0.013418,            0.021941,             0.50735,             0.66625,                0.56,             0.40185,            0.032772,            0.006161,            0.022386,            0.008482,            0.008482,            0.008482
                  48,             0.03119,            0.013965,            0.025586,             0.53544,             0.63371,             0.55495,             0.30246,            0.038577,           0.0065423,            0.023022,            0.008449,            0.008449,            0.008449
                  49,            0.036239,            0.014496,             0.02183,             0.49635,             0.75944,             0.63507,             0.34335,            0.040101,           0.0061923,            0.022657,            0.008416,            0.008416,            0.008416
                  50,            0.034634,            0.012763,            0.021515,             0.52726,             0.77045,             0.66811,             0.48813,            0.035964,           0.0062085,            0.022724,            0.008383,            0.008383,            0.008383
                  51,            0.032446,            0.012796,            0.020576,             0.70703,             0.66545,             0.72822,             0.50497,            0.039786,           0.0061107,            0.023355,             0.00835,             0.00835,             0.00835
